EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
16.535,-7.032,-4.342,-3.068,-11.103,-9.107,-8.694,-13.965,0.052,0.968,0.277,0.244,0.458,0.305,93.333,88866.000,1.000
29.111,-2.943,-1.940,-4.875,-13.095,-6.930,-14.839,-23.320,0.053,0.969,0.274,0.275,0.336,0.366,93.333,88867.000,1.000
32.536,-2.511,-4.104,-7.880,-15.750,-6.873,-22.016,-31.296,0.052,0.967,0.274,0.305,0.336,0.336,93.333,88868.000,1.000
25.888,-3.580,-7.522,-9.044,-16.534,-6.119,-22.816,-31.325,0.053,0.968,0.275,0.275,0.336,0.153,93.333,88869.000,1.000
21.624,-1.480,-6.785,-4.464,-12.049,-1.116,-14.144,-21.371,0.050,0.968,0.275,0.275,0.336,0.183,93.333,88870.000,1.000
23.405,2.883,-2.592,2.538,-3.898,6.484,-0.072,-5.930,0.052,0.968,0.281,0.275,0.305,0.366,93.333,88871.000,1.000
25.007,4.487,0.292,5.195,1.947,11.079,12.121,7.778,0.052,0.970,0.276,0.275,0.122,0.427,93.333,88872.000,1.000
22.889,2.208,0.549,3.621,3.527,10.878,19.683,16.677,0.051,0.969,0.278,0.275,0.122,0.427,93.333,88873.000,1.000
17.513,-2.311,-1.104,1.438,2.797,7.523,23.490,20.927,0.051,0.969,0.277,0.183,0.183,0.397,93.333,88874.000,1.000
11.093,-7.500,-3.690,-0.354,0.931,2.500,23.442,21.073,0.050,0.971,0.276,0.122,0.214,0.275,93.333,88875.000,1.000
9.513,-9.037,-3.568,-0.455,-0.142,-1.102,20.505,19.397,0.050,0.969,0.275,0.031,0.153,0.397,93.333,88876.000,1.000
16.784,-3.349,0.952,1.948,1.183,-0.885,16.545,17.758,0.052,0.969,0.277,0.000,0.031,0.488,93.333,88877.000,1.000
24.988,4.234,4.549,2.700,1.465,-0.844,9.193,13.766,0.052,0.970,0.276,-0.031,0.061,0.397,93.333,88878.000,1.000
21.699,4.083,1.750,-2.453,-3.550,-6.371,-3.872,5.164,0.051,0.969,0.274,-0.061,-0.031,0.397,93.333,88879.000,1.000
10.782,-4.201,-4.760,-9.754,-10.871,-14.636,-16.454,-3.583,0.053,0.967,0.276,-0.183,0.031,0.366,93.333,88880.000,1.000
7.622,-12.527,-8.956,-12.002,-14.218,-18.594,-20.155,-5.985,0.052,0.967,0.275,-0.214,-0.122,0.427,93.333,88881.000,1.000
12.274,-16.284,-9.388,-8.438,-12.510,-17.039,-15.237,-2.264,0.053,0.964,0.274,-0.092,0.000,0.427,93.333,88882.000,1.000
11.659,-15.712,-6.824,-2.958,-8.027,-13.437,-7.662,2.870,0.052,0.966,0.276,-0.061,-0.092,0.427,93.333,88883.000,1.000
5.124,-11.689,-1.934,1.903,-2.989,-11.137,-2.803,5.565,0.055,0.968,0.278,-0.061,-0.092,0.488,93.333,88884.000,1.000
3.328,-6.629,2.550,4.650,-0.266,-12.594,-4.161,2.994,0.055,0.968,0.276,0.000,0.031,0.366,93.333,88885.000,1.000
7.263,-2.953,4.854,4.900,-0.578,-16.983,-10.743,-4.439,0.055,0.970,0.274,-0.122,0.000,0.366,93.333,88886.000,1.000
6.614,-1.804,5.013,3.195,-3.084,-22.156,-19.744,-13.812,0.053,0.971,0.275,-0.061,-0.031,0.458,93.333,88887.000,1.000
-3.401,-5.752,0.675,-1.742,-9.697,-29.075,-30.693,-24.487,0.055,0.969,0.274,-0.092,-0.061,0.427,93.333,88888.000,1.000
-13.710,-14.549,-8.181,-9.285,-19.127,-35.466,-38.441,-33.518,0.052,0.969,0.276,-0.031,-0.092,0.366,93.333,88889.000,1.000
-14.488,-21.570,-15.217,-14.161,-23.745,-33.999,-35.218,-34.472,0.052,0.969,0.278,0.031,-0.061,0.214,93.333,88890.000,1.000
-12.084,-23.420,-17.265,-14.541,-21.181,-24.521,-25.032,-28.920,0.053,0.970,0.274,-0.061,0.000,0.092,93.333,88891.000,1.000
-17.011,-23.465,-17.383,-13.793,-16.505,-14.107,-17.305,-24.003,0.057,0.967,0.272,0.092,-0.031,0.092,93.333,88892.000,1.000
-20.997,-21.574,-15.219,-11.527,-10.416,-4.222,-9.495,-17.312,0.057,0.967,0.274,0.061,0.061,0.122,93.333,88893.000,1.000
-13.921,-14.285,-8.130,-5.240,-0.300,7.560,5.150,-2.128,0.058,0.968,0.277,0.244,-0.031,0.153,93.333,88894.000,1.000
-9.586,-4.626,-0.337,0.999,9.365,17.603,19.772,15.339,0.059,0.967,0.275,0.244,-0.031,0.153,93.333,88895.000,1.000
-20.094,1.678,2.315,1.758,12.019,20.921,22.901,22.637,0.060,0.966,0.274,0.305,0.000,0.275,93.333,88896.000,1.000
-28.289,5.476,1.972,-0.713,10.032,19.929,18.034,20.630,0.060,0.966,0.276,0.244,0.183,0.366,93.333,88897.000,1.000
-18.756,9.603,3.295,-1.677,9.728,19.470,15.932,19.004,0.058,0.964,0.277,0.183,0.275,0.366,93.333,88898.000,1.000
-8.215,11.746,5.064,-1.171,11.412,19.631,17.744,20.001,0.058,0.964,0.276,0.153,0.397,0.336,93.333,88899.000,1.000
-14.951,9.211,4.230,-0.616,11.875,18.303,19.096,20.649,0.057,0.965,0.276,0.122,0.488,0.366,93.333,88900.000,1.000
-26.161,4.125,1.922,0.360,10.465,14.754,18.109,20.499,0.056,0.964,0.273,0.214,0.610,0.427,93.333,88901.000,1.000
-22.890,-0.356,1.023,1.638,8.252,9.401,14.683,19.089,0.055,0.964,0.274,0.305,0.610,0.275,93.333,88902.000,1.000
