EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
6.212,-7.387,-5.730,-9.735,16.522,-14.595,-26.362,-30.614,0.017,0.976,0.264,-0.458,-0.183,-0.244,93.333,16514.000,1.000
0.739,-9.652,-7.842,-12.198,13.693,-19.878,-30.865,-34.858,0.019,0.975,0.269,-0.610,-0.336,-0.214,93.333,16515.000,1.000
-5.767,-10.287,-10.165,-18.382,10.739,-22.731,-31.838,-38.087,0.019,0.976,0.267,-0.610,-0.336,-0.275,93.333,16516.000,1.000
-7.247,-9.957,-10.541,-20.999,14.201,-22.009,-28.969,-37.666,0.019,0.975,0.264,-0.580,-0.397,-0.244,93.333,16517.000,1.000
-6.027,-10.433,-9.740,-17.198,20.067,-19.299,-22.830,-30.304,0.019,0.974,0.265,-0.580,-0.458,-0.183,93.333,16518.000,1.000
-8.317,-11.626,-9.565,-11.714,17.659,-17.496,-17.996,-19.375,0.019,0.973,0.266,-0.610,-0.641,-0.061,93.333,16519.000,1.000
-11.505,-10.081,-7.765,-7.197,9.270,-16.055,-16.154,-9.812,0.019,0.972,0.268,-0.549,-0.641,-0.092,93.333,16520.000,1.000
-10.131,-4.299,-2.191,-1.844,4.807,-11.327,-11.723,-1.037,0.021,0.972,0.265,-0.610,-0.610,-0.031,93.333,16521.000,1.000
-8.422,-0.605,1.393,1.246,1.766,-5.192,-5.247,4.845,0.021,0.972,0.264,-0.580,-0.671,0.061,93.333,16522.000,1.000
-12.036,-5.412,-3.786,-4.099,-6.675,-4.326,-4.751,2.148,0.023,0.973,0.265,-0.488,-0.763,0.061,93.333,16523.000,1.000
-15.802,-13.273,-12.171,-12.874,-12.799,-6.926,-7.629,-4.335,0.024,0.972,0.266,-0.549,-0.702,0.153,93.333,16524.000,1.000
-14.293,-14.890,-13.357,-13.936,-7.166,-4.663,-3.961,-4.088,0.024,0.971,0.266,-0.488,-0.671,0.183,93.333,16525.000,1.000
-13.198,-12.073,-9.391,-9.254,-0.384,1.966,4.681,0.428,0.025,0.970,0.268,-0.488,-0.671,0.183,93.333,16526.000,1.000
-16.002,-11.592,-9.245,-8.753,-6.142,5.608,9.603,-0.137,0.027,0.970,0.265,-0.305,-0.549,0.183,93.333,16527.000,1.000
-15.369,-12.848,-12.922,-11.979,-14.332,3.579,6.597,-6.013,0.025,0.970,0.264,-0.305,-0.519,0.336,93.333,16528.000,1.000
-8.897,-12.126,-14.122,-12.287,-9.885,-1.998,-3.861,-12.578,0.027,0.969,0.264,-0.305,-0.458,0.275,93.333,16529.000,1.000
-5.809,-10.603,-11.444,-10.328,-2.709,-8.300,-15.125,-17.635,0.029,0.969,0.263,-0.244,-0.397,0.305,93.333,16530.000,1.000
-9.500,-10.725,-8.073,-9.843,-8.235,-12.443,-17.452,-18.483,0.029,0.969,0.265,-0.214,-0.305,0.275,93.333,16531.000,1.000
-11.508,-11.729,-6.965,-10.220,-17.278,-13.437,-10.739,-13.886,0.026,0.967,0.266,-0.122,-0.122,0.244,93.333,16532.000,1.000
-9.907,-14.663,-11.501,-12.693,-14.967,-16.120,-8.099,-10.749,0.026,0.969,0.264,-0.031,0.092,0.336,93.333,16533.000,1.000
-14.205,-21.776,-21.559,-19.789,-10.145,-24.885,-17.748,-15.966,0.028,0.968,0.262,0.031,0.183,0.366,93.333,16534.000,1.000
-24.305,-27.209,-27.600,-24.548,-18.598,-32.931,-29.128,-22.900,0.029,0.969,0.263,0.031,0.244,0.366,93.333,16535.000,1.000
-25.906,-22.735,-21.577,-18.160,-31.897,-31.560,-30.610,-21.359,0.028,0.969,0.262,-0.061,0.397,0.397,93.333,16536.000,1.000
-14.704,-11.329,-9.229,-5.464,-28.593,-23.615,-24.818,-13.229,0.028,0.970,0.262,0.092,0.427,0.366,93.333,16537.000,1.000
-3.909,-2.039,-0.516,3.067,-10.062,-16.169,-18.018,-6.238,0.027,0.971,0.267,0.275,0.580,0.427,93.333,16538.000,1.000
-2.500,1.488,2.012,5.072,-0.152,-11.973,-14.775,-5.163,0.028,0.971,0.268,0.214,0.610,0.458,93.333,16539.000,1.000
-5.477,0.785,0.060,2.200,-7.444,-10.334,-17.801,-10.805,0.027,0.971,0.264,0.336,0.641,0.458,93.333,16540.000,1.000
-6.467,-1.233,-4.498,-4.438,-14.665,-7.143,-20.437,-17.059,0.027,0.973,0.264,0.305,0.793,0.488,93.333,16541.000,1.000
-6.626,-2.484,-9.284,-10.813,-11.565,0.826,-14.175,-16.223,0.026,0.973,0.265,0.275,0.977,0.488,93.333,16542.000,1.000
-10.355,-3.075,-12.284,-12.250,-9.557,9.752,-3.805,-10.260,0.026,0.973,0.264,0.336,0.946,0.519,93.333,16543.000,1.000
-16.487,-3.577,-12.786,-9.651,-15.757,14.138,1.389,-6.484,0.025,0.972,0.267,0.305,0.916,0.488,93.333,16544.000,1.000
-18.120,-3.787,-11.199,-8.367,-18.629,14.609,3.367,-5.388,0.024,0.972,0.267,0.305,1.038,0.702,93.333,16545.000,1.000
-14.095,-4.142,-8.543,-9.879,-11.233,14.540,8.328,-2.606,0.023,0.972,0.267,0.244,1.190,0.671,93.333,16546.000,1.000
-11.674,-5.199,-5.911,-9.851,-7.011,14.631,14.695,2.350,0.022,0.974,0.266,0.244,1.038,0.702,93.333,16547.000,1.000
-13.163,-5.953,-4.468,-6.721,-14.440,13.971,17.772,6.562,0.021,0.974,0.264,0.183,1.068,0.641,93.333,16548.000,1.000
-12.751,-4.870,-4.574,-3.785,-18.081,12.442,17.699,8.382,0.021,0.973,0.265,0.153,1.068,0.793,93.333,16549.000,1.000
-8.546,-1.978,-4.560,-2.505,-6.918,10.282,16.488,7.881,0.021,0.974,0.265,0.000,1.099,0.793,93.333,16550.000,1.000
-5.105,0.428,-2.668,-1.341,3.356,6.173,11.911,5.257,0.020,0.975,0.267,0.000,1.007,0.824,93.333,16551.000,1.000
-4.553,-0.365,-0.083,0.695,-1.934,-1.366,1.707,1.247,0.020,0.974,0.263,-0.031,0.916,0.763,93.333,16552.000,1.000
